# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushes,1708438427408000000,1708438487415000000,58
IndexesFlusher.totalFlushingTimeUs,1708438427408000000,1708438487415000000,352388
VFSFlusher.totalContentionQuotaSpent,1708438427408000000,1708438487415000000,0
IndexesFlusher.totalFlushesRetried,1708438427408000000,1708438487415000000,0
VFSFlusher.totalFlushingTimeUs,1708438427408000000,1708438487415000000,9977
IndexesFlusher.totalContentionQuotaSpent,1708438427408000000,1708438487415000000,0
VFSFlusher.totalFlushesRetried,1708438427408000000,1708438487415000000,0
VFSFlusher.totalFlushes,1708438427408000000,1708438487415000000,2
AWTEventQueue.eventsDispatched,1708438427408000000,1708438487415000000,1489
FlushQueue.executionTime90PNs,1708438427408000000,1708438487415000000,548863
FlushQueue.queueSizeAvg,1708438427408000000,1708438487415000000,3.7251908396946565
AWTEventQueue.dispatchTimeAvgNs,1708438427408000000,1708438487415000000,1424176.2686366688
FlushQueue.waitingTimeMaxNs,1708438427408000000,1708438487415000000,595591167
FlushQueue.queueSize90P,1708438427408000000,1708438487415000000,14
AWTEventQueue.dispatchTime90PNs,1708438427408000000,1708438487415000000,1327103
FlushQueue.waitingTime90PNs,1708438427408000000,1708438487415000000,202375167
AWTEventQueue.dispatchTimeTotalNS,1708438427408000000,1708438487415000000,2119809130
FlushQueue.executionTimeMaxNs,1708438427408000000,1708438487415000000,612368383
FlushQueue.tasksExecuted,1708438427408000000,1708438487415000000,131
FlushQueue.queueSizeMax,1708438427408000000,1708438487415000000,26
AWTEventQueue.dispatchTimeMaxNs,1708438427408000000,1708438487415000000,612368383
FlushQueue.executionTimeAvgNs,1708438427408000000,1708438487415000000,5912394.564885496
FlushQueue.waitingTimeAvgNs,1708438427408000000,1708438487415000000,6.585622473282443E7
FileNameCache.totalMisses,1708438427408000000,1708438487415000000,85
FileNameCache.fastMisses,1708438427408000000,1708438487415000000,86
FileNameCache.queries,1708438427408000000,1708438487415000000,5982
StreamlinedBlobStorage.recordsDeleted,1708438427408000000,1708438487415000000,0
DirectByteBufferAllocator.disposed,1708438427408000000,1708438487415000000,0
StreamlinedBlobStorage.recordsAllocated,1708438427408000000,1708438487415000000,18
FilePageCache.pageHits,1708438427408000000,1708438487415000000,0
DirectByteBufferAllocator.reclaimed,1708438427408000000,1708438487415000000,3
FilePageCache.uncachedFileAccess,1708438427408000000,1708438487415000000,122
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1708438427408000000,1708438487415000000,242
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1708438427408000000,1708438487415000000,1284
DirectByteBufferAllocator.hits,1708438427408000000,1708438487415000000,3
FilePageCache.totalPageDisposalsUs,1708438427408000000,1708438487415000000,746
StreamlinedBlobStorage.recordsRelocated,1708438427408000000,1708438487415000000,0
FilePageCache.disposedBuffers,1708438427408000000,1708438487415000000,3
StorageLockContext.competingThreads.max,1708438427408000000,1708438487415000000,0
FilePageCache.pageLoads,1708438427408000000,1708438487415000000,233
FilePageCache.maxRegisteredFiles,1708438427408000000,1708438487415000000,614
StorageLockContext.competingThreads.avg,1708438427408000000,1708438487415000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1708438427408000000,1708438487415000000,246448128
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1708438427408000000,1708438487415000000,0
FilePageCache.capacityInBytes,1708438427408000000,1708438487415000000,524288000
DirectByteBufferAllocator.misses,1708438427408000000,1708438487415000000,230
FilePageCache.maxCacheSizeInBytes,1708438427408000000,1708438487415000000,246448128
FilePageCache.pageLoadsAboveSizeThreshold,1708438427408000000,1708438487415000000,0
FilePageCache.pageFastCacheHits,1708438427408000000,1708438487415000000,4833
FilePageCache.totalPageLoadsUs,1708438427408000000,1708438487415000000,283765
StorageLockContext.competingThreads.90P,1708438427408000000,1708438487415000000,0
IndexesFlusher.totalFlushes,1708438487415000000,1708438547414000000,60
IndexesFlusher.totalFlushingTimeUs,1708438487415000000,1708438547414000000,288968
