# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1708486703822000000,1708486763830000000,1197363
FileNameCache.totalMisses,1708486703822000000,1708486763830000000,33765
FileNameCache.fastMisses,1708486703822000000,1708486763830000000,50639
NonBlockingReadAction.failedExecutionsCount,1708486703822000000,1708486763830000000,4
FlushQueue.queueSizeMax,1708486703822000000,1708486763830000000,60
AWTEventQueue.dispatchTimeTotalNS,1708486703822000000,1708486763830000000,6508665832
FlushQueue.tasksExecuted,1708486703822000000,1708486763830000000,1713
AWTEventQueue.dispatchTimeAvgNs,1708486703822000000,1708486763830000000,2484217.8771461276
AWTEventQueue.eventsDispatched,1708486703822000000,1708486763830000000,2621
AWTEventQueue.dispatchTime90PNs,1708486703822000000,1708486763830000000,2293759
NonBlockingReadAction.failedExecutionTimeUs,1708486703822000000,1708486763830000000,14966
FlushQueue.waitingTimeAvgNs,1708486703822000000,1708486763830000000,7.081968023350847E7
FlushQueue.executionTime90PNs,1708486703822000000,1708486763830000000,1597439
FlushQueue.waitingTime90PNs,1708486703822000000,1708486763830000000,268435455
FlushQueue.queueSize90P,1708486703822000000,1708486763830000000,40
NonBlockingReadAction.finalizedExecutionsCount,1708486703822000000,1708486763830000000,114
AWTEventQueue.dispatchTimeMaxNs,1708486703822000000,1708486763830000000,557842431
NonBlockingReadAction.finalizedExecutionTimeUs,1708486703822000000,1708486763830000000,826985
FlushQueue.executionTimeMaxNs,1708486703822000000,1708486763830000000,557842431
FlushQueue.queueSizeAvg,1708486703822000000,1708486763830000000,10.45942790426153
FlushQueue.executionTimeAvgNs,1708486703822000000,1708486763830000000,2103210.155283129
FlushQueue.waitingTimeMaxNs,1708486703822000000,1708486763830000000,692060159
workspaceModel.replace.project.model.ms,1708486703822000000,1708486763830000000,0
workspaceModel.collect.changes.ms,1708486703822000000,1708486763830000000,0
workspaceModel.pre.handlers.ms,1708486703822000000,1708486763830000000,1
workspaceModel.to.snapshot.ms,1708486703822000000,1708486763830000000,1
workspaceModel.init.bridges.ms,1708486703822000000,1708486763830000000,2
workspaceModel.updates.ms,1708486703822000000,1708486763830000000,87
workspaceModel.updates.count,1708486703822000000,1708486763830000000,4
workspaceModel.loading.from.cache.ms,1708486703822000000,1708486763830000000,159
workspaceModel.update.unloaded.entities.ms,1708486703822000000,1708486763830000000,0
workspaceModel.check.recursive.update.ms,1708486703822000000,1708486763830000000,0
workspaceModel.loading.total.ms,1708486703822000000,1708486763830000000,174
workspaceModel.initializing.ms,1708486703822000000,1708486763830000000,2
workspaceModel.updates.precise.ms,1708486703822000000,1708486763830000000,23
workspaceModel.global.apply.state.to.project.builder.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1708486703822000000,1708486763830000000,1
workspaceModel.save.cache.to.file.ms,1708486703822000000,1708486763830000000,35
workspaceModel.delayed.project.synchronizer.sync.ms,1708486703822000000,1708486763830000000,141
jps.global.get.library.by.name.ms,1708486703822000000,1708486763830000000,0
jps.global.handle.changed.events.ms,1708486703822000000,1708486763830000000,0
jps.global.get.libraries.ms,1708486703822000000,1708486763830000000,1
jps.library.entities.serializer.load.entities.ms,1708486703822000000,1708486763830000000,10
workspaceModel.mutableEntityStorage.entities.ms,1708486703822000000,1708486763830000000,0
workspaceModel.global.updates.ms,1708486703822000000,1708486763830000000,0
workspaceModel.global.apply.state.to.project.ms,1708486703822000000,1708486763830000000,34
workspaceModel.load.cache.from.file.ms,1708486703822000000,1708486763830000000,157
workspaceModel.mutableEntityStorage.entities.by.source.ms,1708486703822000000,1708486763830000000,0
workspaceModel.global.updates.count,1708486703822000000,1708486763830000000,0
jps.facet.change.listener.before.change.events.ms,1708486703822000000,1708486763830000000,0
jps.artifact.entities.serializer.load.entities.ms,1708486703822000000,1708486763830000000,0
jps.app.storage.content.reader.load.component.ms,1708486703822000000,1708486763830000000,0
jps.module.iml.entities.serializer.save.entities.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1708486703822000000,1708486763830000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1708486703822000000,1708486763830000000,2
jps.save.changed.project.entities.ms,1708486703822000000,1708486763830000000,1
workspaceModel.moduleBridge.update.option.ms,1708486703822000000,1708486763830000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1708486703822000000,1708486763830000000,1
jps.apply.loaded.storage.ms,1708486703822000000,1708486763830000000,59
jps.project.serializers.load.ms,1708486703822000000,1708486763830000000,45
workspaceModel.mutableEntityStorage.add.diff.ms,1708486703822000000,1708486763830000000,7
jps.module.iml.entities.serializer.load.entities.ms,1708486703822000000,1708486763830000000,27
workspaceModel.moduleManagerBridge.load.module.ms,1708486703822000000,1708486763830000000,0
jps.reload.project.entities.ms,1708486703822000000,1708486763830000000,0
jps.load.project.to.empty.storage.ms,1708486703822000000,1708486763830000000,78
workspaceModel.mutableEntityStorage.remove.entity.ms,1708486703822000000,1708486763830000000,0
jps.library.entities.serializer.save.entities.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1708486703822000000,1708486763830000000,1
jps.project.serializers.save.ms,1708486703822000000,1708486763830000000,1
jps.global.handle.before.change.events.ms,1708486703822000000,1708486763830000000,0
workspaceModel.sync.entities.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1708486703822000000,1708486763830000000,6
workspaceModel.mutableEntityStorage.add.entity.ms,1708486703822000000,1708486763830000000,32
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1708486703822000000,1708486763830000000,0
jps.load.initial.state.ms,1708486703822000000,1708486763830000000,9
workspaceModel.moduleManagerBridge.create.module.instance.ms,1708486703822000000,1708486763830000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1708486703822000000,1708486763830000000,0
jps.global.initialize.library.bridges.ms,1708486703822000000,1708486763830000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1708486703822000000,1708486763830000000,52
workspaceModel.mutableEntityStorage.put.entity.ms,1708486703822000000,1708486763830000000,10
workspaceModel.moduleBridge.facet.initialization.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1708486703822000000,1708486763830000000,1
jps.global.initialize.library.bridges.after.loading.ms,1708486703822000000,1708486763830000000,0
workspaceModel.moduleBridge.before.changed.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1708486703822000000,1708486763830000000,0
jps.artifact.entities.serializer.save.entities.ms,1708486703822000000,1708486763830000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1708486703822000000,1708486763830000000,17
workspaceModel.orphan.listener.update.ms,1708486703822000000,1708486763830000000,1
jps.facet.change.listener.process.change.events.ms,1708486703822000000,1708486763830000000,0
jps.global.get.library.ms,1708486703822000000,1708486763830000000,0
jps.facet.change.listener.init.bridge.ms,1708486703822000000,1708486763830000000,0
jps.save.global.entities.ms,1708486703822000000,1708486763830000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1708486703822000000,1708486763830000000,0
